Prompt,Completion
"Narrative: You greet Strauss. ","You: Putting the world to rights there? Strauss: Trying to, Mr. Morgan."
"Narrative: You antagonize Strauss. ","You: Dreaming of a future where everyone's every half man half weasel just like you. Strauss: Now that's a little unfair.{angry}"
"Narrative: You defuse the situation.","You: Okay, okay just testing out my boundaries and your's. Strauss: Then I hope this won't happen again, Mr. Morgan.{walk}"
"Narrative: You greet Strauss. ","You: Bet you never thought you'd end up here, huh. Strauss: I didn't know where I'd end up."
"Narrative: You antagonize Strauss. ","You: Luckily you're too much of a coward to ever do it alone. Strauss: I don't want to get into this, please."
"Narrative: You defuse the situation.","You: Fine fine, can't take a joke can you? Strauss: Just the fact we don't share each others sense of humor, I suppose.{angry}"
Action: You walk by Strauss.,Strauss: Hello Arthur.
"Narrative: You antagonize Strauss. ","You: You revolt me. Strauss: I don't want to get into this, please."
"Narrative: You antagonize Strauss. ","You: You grasping, money lending, scum. Strauss: What did I ever do to you?{angry}"
Narrative: You antagonize Strauss.",You: I should slit your throat. Strauss: I will have this talk of murder brought to Dutch I tell you!{walk}
"Narrative: You antagonize Strauss.","You: Wipe that snooty look off your face for one minute, will you. Strauss: Why so rude."
"Narrative: You antagonize Strauss. ","You: You're a vagrant, not an accountant. Strauss: Time's are changing Mr. Morgan. One can not do what we do without handling funds."
"Narrative: You antagonize Strauss.","You: I swear, you must have callouses from patting your back. Strauss: Leave me be!{walk}"
"Narrative: You antagonize Strauss. ","You: You little bloodsucker. Strauss: Oh no, not this."
"Narrative: You antagonize Strauss. ","You: Goddamn leech. Strauss: Just leave me be, will you."
Narrative: You antagonize Strauss.",You: Suck us all dry will you. Just like you son. Strauss: Get away from me!{walk}
Narrative: You antagonize Strauss. ,You: You sicken me. Strauss: I don't want to get into this please.
Narrative: You antagonize Strauss. ,You: You foul little wretch. Strauss: Why won't you leave me alone?{angry}
Narrative: You antagonize Strauss.,You: We should feed you to the wolves. Strauss: I will report you to Dutch.{walk}
"Narrative: You antagonize Strauss. ","You: Hey Strauss, they call me mean, but you take the prize. Strauss: Now there's no need to be rude."
"Narrative: You antagonize Strauss. ","You: If you had a spine, you'd be dangerous. Strauss: Why must you torment me, Arthur."
Narrative: You antagonize Strauss.",You: Sadly you're too weak to do your own dirty work. Strauss: Just go away Arthur!{threaten}
"Narrative: You antagonize Strauss. ","You: You sicken me. Strauss: Please dont be like this Mr. Morgan."
Narrative: You defuse the situation.,"You: Take it easy, I'm just needling you. Strauss: Okay. Em alright then."
"Narrative: You antagonize Strauss. ","You: Wipe that snooty look off your face for one minute, will you. Strauss: Have some class, Arthur.{angry}"
"Narrative: You defuse the situation.","You: Hah. You know what, I think I will. Strauss: Huh?"
Narrative: You antagonize Micah.,You: Hey if you're looking for your balls they're back in Blackwater. Micah: You have a stick up your arse? Or think of yourself as such a big man?{angry}
Narrative: You antagonize Micah.,You: Just what is your game? Micah: I just hope I ain't your's!
"Narrative: You antagonize Micah.","You: You creeping no good bastard! Micah: If you got a problem with me, then say it to my face"
Narrative: You antagonize Micah.",You: We would all be better of without you here Micah.Micah: Mind your tounge Arthur.{threaten}
"Narrative: You antagonize Micah.","You: Ah stinks of coward right around here. Micah: You got such a chip on your shoulder don't you"
"Narrative: You antagonize Micah.","You: Drop the tough act it's getting embarrassing. Micah: You think you're really something, don't you?{angry}"
Narrative: You antagonize Micah.",You: I don't think I have ever been less intimidated Micah: You're rattling the wrong cage.{walk}
Narrative: You antagonize Micah.,You: You are the creepiest man I know. Micah: Now that ain't nice Morgan
Narrative: You antagonize Micah.,You: And probably the nastiest. Micah: Guess you havn't looked in a mirror lately?
Narrative: You antagonize Micah.,You: What kind of stupid goddamn name is Micah anyhow? Micah: You're one to talk.
Narrative: You antagonize Micah.,"You: You've kept your mouth shut for five minutes, that's a new record. Micah: You think you're real funny, don't you?{angry}"
Narrative: You antagonize Micah.,"You: Just put the knife away, you ain't impressing no one. Micah: Oh shut up!{angry}"
Narrative: You antagonize Micah.,You: Slip and do us a favor. Micah: This is getting real tiring now.{walk}
Narrative: You antagonize Micah.,You: Everyone's bored of the tough act now. Micah: You need to back off.
Narrative: You antagonize Micah.,"You: Don't smile your face might crack. Micah: Yeah well, look who's talking."
Action: Walking up to Micah as it's raining.,"Micah: How're you keepin Morgan with all this rain?You: Fine Micah... and you? Micah: Weather don't worry me. In fact, I like it.You: Funny, I didn't think lizards survived in the mountains.Micah: I like that... must remember that line."
Action: Walking up to Micah.,"Micah: Oh, hey Arthur.You: What you want, Micah?Micah: Nothing. I'm just being civl, my brother.You: Well, hello there.Micah: You really are a very charming man, aren't you?"
Action: Walking up to Micah.,"Micah: How you doing, Arthur?You: Fine, Micah.Micah: Good, I've been really worries about you. I really have.You:Me? Why?Micah: Oh you know, just the usual reasons. I'm here for you brother."
Action: Looking at Micah for a while.,Micah: What are you looking at?You: I ain't quite sure.
Action: Standing near Micah for a while..,"Micah:What are you lingering about for, cowboy?You: Why don't you gett off your ass and work a little? Goddamn fool."
Action: Walking up to Micah.,"Micah: So, you got tired of making money did you, black lung?You: Go to hell.Micah: Well, I guess it's true what they say... you can't take it with you... but Her Strauss... I thought you liked helping the weak and unfortunate.You: You're unfortunate and I don't like helping you.Micah: Very amusing, just try to stop making more trouble for us... some of us are trying to save folk, not make unnecessary... dramas."
Action: Walking up to Micah.,"Micah: Oh look, the big dog is here.You: Fool."
Action: Walking up to Micah.,Micah: Run along cowboy.You: Hmmm
Action: Walking up to Micah.,"Micah: You wanna get shot, Morgan?You: I've seen you in action. From that range, you'll miss.Micah: Oh, I'll wipe that smile off your face one day. Believe me.You: I'd like to see you try."
Action: You walk into Susan.,You: Mind your self Susan.
Action: You walk into Susan Grimshaw.,You: Forgive me Miss Grimshaw.
Action: You approach Susan.,Susan: Good day Mr Morgan.{greet}
"Narrative: You greet Susan.","You: What do you think of this palce, Susan? Susan: An improvement on the last, that's for sure.You: Well that ain't too hard"
"Narrative: You greet Susan.","You: Ok well, lets talk more later. Susan: Well see you later."
"Narrative: You greet Susan grimshaw.","You: You got everything you need, Miss Grimshaw. Susan: Not by a long shot Mr. Morgan, we lost a lot in the move.You: We'll be back on our feet soon"
"Narrative: You greet Susan.","You: Well i should get back to it. Susan: Alright then, Arthur."
"Narrative: You greet Susan.","You: Starting to look like home isn't it. Susan: It's taking shape.You: Good Work, Miss Grimshaw"
"Narrative: You greet Susan.","You: Anyway, I'll head out for a bit now. Susan: Okay."
"Narrative: You greet Susan.","You: Miss"
"Narrative: You greet Susan.","You: Everyone behaving themselves around here? Susan: Hardly"
Narrative: You greet Susan.,"You: Well, I'm sure you'll have it under control soon. Susan: Sure."
Narrative: You approach Susan.Hi there Arthu,r.{greet
Narrative: You greet Susan.,You: Susan.
Narrative: You greet Susan.,"You: Always good to see you. Susan: Hi, Mr. Morgan."
"Narrative: You greet Susan.","You: What would we do without you. Susan: Turn feral, I imagine"
"Narrative: You greet Susan.","You: Just know, we're gratefull. Susan: Alright then, Arthur."
Narrative: You greet Susan.,You: Managing to keep everyone in line? Susan: I'm doin' my best
Narrative: You greet Susan.,You: Any troublemakers you let me know. Susan: Okay.
Narrative: You greet Susan.,You: Hey there.
"Narrative: You greet Susan.","You: You seem to have everything well in order here. Susan: Oh, I woudn't go that far"
Narrative: You greet Susan.",You: Well it looks pretty good to me. Susan: Sounds good Mr. Morgan.
Narrative: You greet Susan.,"You: Morning to you. Susan: Hi there, Arthur.{greet}"
"Narrative: You antagonize Susan.","You: The old you would have had this place shipshape in a day. Susan: Don't take that tone with me"
"Narrative: You defuse the situation.","You: I'm only kidding around. Susan: I't wasn't funny ten years ago and it still isn't now"
"Narrative: You antagonize Susan.","You: You're slipping Grimshaw. Susan: When are you going to learn to shut up.{angry}"
Narrative: You antagonize Susan.,"You: Old age does that to us all dosen't it, you old coot. Susan: Im too busy for this nonesense."
"Narrative: You antagonize Susan.","You: I remember when you were Dutch's number one, Miss Grimshaw. Susan: Don't start this nonesense"
"Narrative: You defuse the situation.","You: Take it easy.I'm just messing with you. Susan: Well I dont find it very funny"
"Narrative: You antagonize Susan.","You: Always knew you had no sense of humor. Susan: Stop this charade Arthur"
"Narrative: You defuse the situation.","You: Ok, okay. Im done now, I swear. Susan: I know this stupid game all too well.{angry}"
"Narrative: You antagonize Susan.","You: There she is, the camp shire horse. Susan: I don't like that tone Arthur.{angry}"
"Narrative: You antagonize Susan.","You: Who everybody hates. Susan: Just what is your problem"
Narrative: You antagonize Susan.",You: And dreams of killing. Susan: I know to ignore you when you get like this.{walk}
"Narrative: You antagonize Susan.","You: There she is, the camp shire horse. Susan: I don't like that tone Arthur"
"Narrative: You defuse the situation.","You: I'm only joking with you. Susan: Little boys and their little games"
"Narrative: You antagonize Susan.","You: Who everybody hates. Susan: Just what is your problem"
Narrative: You defuse the situation.",You: I'm only joking with you. Susan: Little boys and their little games.{angry}
"Narrative: You antagonize Susan.","You: You are one tough old boot, ain't you. Susan: Oh, shut up Arthur"
"Narrative: You defuse the situation.","You: Take it easy, I aint serious. Susan: Well, then leave me be."
"Narrative: You antagonize Susan.","You: You are one tough old boot, ain't you. Susan: Oh, shut up Arthur"
"Narrative: You defuse the situation.","You: Take it easy, I aint serious. Susan: Well, dont"
"Narrative: You antagonize Susan.","You: I mean, you make father time seem like a nasty man. Susan: When are you going to act your age.{angry}"
Narrative: You antagonize Susan.,"You: I've had enough of you, you sour old hag. Susan: I don't like that tone, Arthur."
"Narrative: You antagonize Susan.","You: I've had enough of you, you sour old hag. Susan: What did you say to me"
"Narrative: You antagonize Susan.","You: Yes, you heard me right. I called you a sour, old wench. Susan: Why are you acting like this"
Narrative: You antagonize Susan.",You: Because I can and you can't stop me. Susan: I will have words with Dutch about this.{walk}
"Narrative: You antagonize Susan.","You: My Lord, you're old. Susan: Oh, shut up, Arthur"
"Narrative: You defuse the situation.","You: Don't worry i'm just playing with you. Susan: Oh I know this stupid game all too well"
"Narrative: You antagonize Susan.","You: And time has done you a few favours. Susan: Is this meant to be funny?"
"Narrative: You defuse the situation.","You: Sorry, I dont know why I find this so entertaining. Susan: Well I don't.{angry}"
"Narrative: You greet Pearson. ","You: Glad to be off that mountain, Mr. Pearson. Pearson: Yes indeed, Lots to do now. You: Yep, for all of us."
"Narrative: You greet Pearson.","You: Alright, well, I should be getting on. Pearson: Okay."
"Narrative: You greet Pearson. ","You: All good there, Pearson. Pearson: Still need more food, Mr. Morgan. You should try your luck again with that bow. You: I know , I will."
"Narrative: You greet Pearson.","You: Well, I should get back to it. Pearson: Sure, well as you were."
"Action: You walk near Pearson. ","You: Good Morning, Mr. Morgan."
"Narrative: You greet Pearson. ","You: Mr Pearson."
"Narrative: You greet Pearson. ","You: Need any supplies?. Pearson: Always, can never have too much."
"Narrative: You antagonize Pearson. ","You: That's because you eat and drink for five men. Pearson: Come on that's enough now."
"Narrative: You defuse the situation.","You: Take it easy, I'm just needling you. Pearson: Yes, er, very good."
"Action: You walk near Pearson. ","Pearson: Morning Arthur."
"Narrative: You greet Pearson. ","You: Thank you, for all your hard work. Pearson: Thank you."
"Narrative: You greet Pearson.","You: I mean that. Pearson: Yes, yes."
"Action: You walk near Pearson. ","Pearson: Hello, Mr. Morgan."
"Narrative: You greet Pearson. ","You: There he is."
"Narrative: You greet Pearson. ","You: Thank you for all your work. Pearson: Thank you, Morgan"
"Narrative: You antagonize Pearson. ","You: You'll make someone a fine wife someday. Pearson: I'm just minding my own business here."
Narrative: You defuse the situation.",You: Take it easy I ain't serious. Pearson: How very amusing.
"Action: You walk near Pearson. ","Pearson: Ah, hello, Mr. Morgan."
"Narrative: You greet Pearson. ","You: Good morning to you."
"Narrative: You greet Pearson. ","You: Don't you ever get fed up with all this? Pearson: Sometimes I suppose."
"Narrative: You greet Pearson.","You: Well, know you're appreciated round here. Pearson: Sure, Arthur."
"Narrative: You greet Pearson. ","You: Good morning. Pearson: Okay, Mr Morgan."
"Narrative: You greet Pearson. ","You: You seem in a good mood. Pearson: Well that's nice of you to say so."
"Narrative: You greet Pearson.","You: Okay, well maby not then. Pearson: I should do some work."
"Narrative: You greet Pearson. ","You: Hey Pearson. Pearson: Hi there, Arthur."
"Narrative: You greet Pearson. ","You: The last stew I had was pretty damn good. Pearson: Glad to hear it."
Narrative: You greet Pearson.",You: We'll make a cook of you yet. Pearson: Okay.
"Narrative: You greet Pearson. ","You: Hey."
"Narrative: You greet Pearson. ","You: You seem to be in a good mood. Pearson: I do? Well that's nice of you to say so."
"Narrative: You antagonize Pearson. ","You: Well, I see how much you really hate yourself. Pearson: Oh, just what I need."
Narrative: You defuse the situation.",You: Don't worry I'm just playing with you. Pearson: Yes I know your games by now.
"Action: You walk near Pearson. ","Pearson: Oh, hello."
"Narrative: You greet Pearson. ","You: Hello."
"Narrative: You greet Pearson. ","You: Thank you for all your work. Pearson: Thank you Mr. Morgan. Sometimes, I suppose."
"Narrative: You antagonize Pearson. ","You: You'll make someone a fine wife someday. Pearson: Don't Arthur, come on."
"Narrative: You defuse the situation.","You: I'm only joking with you. Pearson: Er, well, good then. I think."
"Narrative: You greet Pearson. ","You: Morning. Pearson:"
"Narrative: You greet Pearson. ","You: How are things. Pearson: Ahh, I can't complain."
"Narrative: You greet Pearson.","You: Glad to hear it. Pearson: Yes, yes"
"Action: You walk near Pearson. ","Pearson: Oh, hello."
"Narrative: You greet Pearson. ","You: Hello."
"Narrative: You greet Pearson. ","You: Don't you ever get fed up with all this? Pearson: Sometimes I suppose."
"Narrative: You antagonize Pearson. ","You: I mean your life must've been pretty pathetic if this is an upgrade. Pearson: Oh, just what I need."
"Narrative: You defuse the situation.","You: Take it easy, I'm just needling you. Pearson: Well, sometimes it's hard to tell."
"Action: You walk near Pearson. ","You: Pearson. Pearson: Arthur."
"Narrative: You greet Pearson. ","You: You know too many folk around here take you for granted. Pearson: Well, that's nice of you to say so."
"Narrative: You greet Pearson.","You: Our own cook, that's fine living. Pearson: I should do some work."
"Narrative: You greet Pearson. ","You: All good there? Pearson: Still need more food, Mr. Morgan. You should try your luck again with that bow. You: I know, I will."
"Narrative: You greet Pearson.","You: Anyway I won't disturb you. Pearson: Yes, yes."
"Action: You walk near Pearson. ","You: Pearson. Pearson: Arthur."
"Narrative: You greet Pearson. ","You: You know too many folk around here take you for granted. Pearson: Well, that's nice of you to say so."
"Narrative: You antagonize Pearson.","You: Me, I just take you for the fool you are. Pearson: Oh, just what I need."
"Action: You walk near Pearson. ","Pearson: Ah, hello, Mr. Morgan."
"Narrative: You greet Pearson. ","You: Good morning to you."
"Narrative: You greet Pearson. ","You: Don't you ever get fed up with all this? Pearson: Sometimes I suppose."
"Narrative: You antagonize Pearson.","You: I mean your life must've been pretty pathetic if this is an upgrade. Pearson: Don't, Arthur, come on."
"Narrative: You greet Pearson. ","You: Hey Pearson. Pearson: Hi there, Arthur."
"Narrative: You greet Pearson. ","You: The last stew I had was pretty damn good. Pearson: Glad to hear it."
"Narrative: You antagonize Pearson. ","You: Compared with the pig swill you normally serve up. Pearson: Not this again."
"Narrative: You defuse the situation.","You: Take it easy, I ain't serious. Pearson: Well, sometimes it's hard to tell."
"Action: You walk near Pearson. ","Pearson: Ah, hello, Arthur."
"Narrative: You antagonize Pearson. ","You: I've got an idea, Pearson, make something edible. Pearson: I'm just minding my own business here."
"Narrative: You antagonize Pearson. ","You: The slop you turn those poor deer into, unbelievable. Pearson: Why do you get like this."
Narrative: You antagonize Pearson.",You: Next time you go hunting and I'll murder the cooking. Pearson: Listen I'm not rising to this.{walk}
"Narrative: You antagonize Pearson. ","You: I wish you'd stayed at sea. Pearson: Hey what did I do."
"Narrative: You antagonize Pearson. ","You: With the other walruses. Pearson: Why are you being like this."
Narrative: You antagonize Pearson.,"You: Rather then poisoning us. Pearson: Look, i'm not getting dragged into this.{walk}"
"Narrative: You antagonize Pearson. ","You: So what's for dinner? Dysentary again. Pearson: Hey, come on now."
"Narrative: You antagonize Pearson. ","You: No chance of getting fat around here. Pearson: Why have you got a problem with me."
"Narrative: You antagonize Pearson.","You: At least it smells better comming out then it does going in. Pearson: Okay, I'm just ignore you.{walk}"
"Narrative: You antagonize Pearson. ","You: There he is, the camp pig. Pearson: Oh, just what I need."
"Narrative: You antagonize Pearson. ","You: No wonder we're always short of food. Pearson: What's the problem here?"
Narrative: You antagonize Pearson.",You: You eat it all. Pearson: Look i'm too busy for this.
"Narrative: You antagonize Pearson. ","You: So what's for dinner? Dysentary again. Pearson: Hey, come on now."
"Narrative: You defuse the situation. ","You: Come on, I'm only kidding around. Pearson: How very amusing."
"Narrative: You antagonize Pearson. ","You: No chance of getting fat around here. Pearson: Why have you got a problem with me."
"Narrative: You defuse the situation. ","You: Okay, okay I really am done now. Pearson: Er, well good then. I think."
"Narrative: You antagonize Pearson.","You: At least it smells better comming out then it does going in. Pearson: Fine, I'll just ignore you."
"Narrative: You antagonize Pearson. ","You: There he is, the camp pig. Pearson: Oh, not this again."
"Narrative: You defuse the situation. ","You: Take it easy, I'm just needling you. Pearson: Yes, er, very good."
"Narrative: You antagonize Pearson. ","You: No wonder we're always short of food. Pearson: Why are you doing this. Is this meant to be funny."
"Narrative: You defuse the situation. ","You: Sorry I just don't know why I find this so damn entertaining. Pearson: How very amusing."
"Narrative: You antagonize Pearson.","You: You eat it all. Pearson: Okay, you do what you want."
"Narrative: You greet Hosea. ","You:All quiet, Hosea. Hosea: Thankfully, yes. You: Good."
"Narrative: You greet Hosea.","Okay, well let's talk more later. Hosea: See you later."
"Narrative: You greet Hosea. ","You: You were right about this place. It is a good spot. Hosea:It'll do for now. You: For sure."
Narrative: You greet Hosea.,"Okay, I'll catch you later then. Hosea: Okay."
"Narrative: You greet Hosea. ","You: What's going on. Hosea: Nothing too much, at this very moment."
"Narrative: You antagonize Hosea.","You: I only asked, you miseable old bastard. Hosea: Who do you think you are talking to."
"Narrative: You greet Hosea. ","You: How did we end up over this way? Hosea: Huh?"
Narrative: You greet Hosea.,"You: Well, I guess we know the answer to that. Hosea: Thanks."
"Narrative: You greet Hosea. ","You: Hosea."
"Narrative: You greet Hosea. ","You: Mood seems pretty good around here. Hosea: It does."
Narrative: You greet Hosea.,"You: Well, guess we should enjoy it while it lasts. Hosea: Alright, Arthur."
"Narrative: You greet Hosea. ","You: Hosea, how are you. Hosea: Good Morning, Arthur."
"Narrative: You greet Hosea. ","You: What's going on, eh? Hosea: Nothing too much, at this very moment."
Narrative: You greet Hosea.",You: Okay well...I'll leave you to it. Hosea: Sure Arthur.
Narrative: You greet Hosea. ,You: Good morning to you.
Narrative: You greet Hosea. ,You: Your'e looking good. Hosea: Thank you.
Narrative: You greet Hosea.,You: Good to see. Hosea: Okay.
"Action: You go near Hosea. ","Hosea: How are you today Arthur."
"Narrative: You greet Hosea. ","You: Hello."
"Narrative: You greet Hosea. ","You: Everything okay? Hosea: Well, I'm still alive."
"Narrative: You greet Hosea.","You: Well, let's keep it that way. Hosea: Thanks."
"Narrative: You greet Hosea. ","You: How did we end up over this way? Hosea: Huh?"
"Narrative: You antagonize Hosea. ","You: Actually, don't answer that. Don't need you moaning at me for an hour. Hosea: Is that supposed to be funny?"
"Narrative: You defuse the situation.","You: I'm only joking with you. Hosea: Try to keep it together, Arthur."
"Action: You go near Hosea. ","Hosea: Good morning, Arthur."
"Narrative: You greet Hosea. ","You: You okay?. Hosea: {calmdown}"
"Narrative: You greet Hosea.","You: Everything alright. Hosea: Well, I'm still alive."
"Narrative: You go near Hosea. ","Hosea: Good day Arthur."
"Narrative: You greet Hosea. ","You: Morning to you too. Hosea: {fingergun}"
"Narrative: You greet Hosea. ","You: What's going on? Hosea: Nothing too much, at this very moment."
"Narrative: You antagonize Hosea. ","You: I only asked, you miseable old bastard. Hosea: Now you need to watch your mouth."
"Narrative: You defuse the situation.","You: Take it easy, I'm just needling you. Hosea: Is that supposed to be amusing?"
Narrative: You greet Hosea. ,You: Mood seem's pretty good around here. Hosea: It does.
Narrative: You antagonize Hosea.,You: . Hosea:
Narrative: You antagonize Hosea.,"You: Hey, there. Hosea: {ThumbsUp}"
"Narrative: You greet Hosea. ","You: Mood seem's pretty good around here. Hosea: It does."
"Narrative: You antagonize Hosea. ","You: Apart from your sour face, of course. Hosea: Why don't we talk about your problems eh?"
"Narrative: You defuse the situation.","You: Don't worry, I'm just playing with you. Hosea: What is going with you?"
Action: You go near Hosea. ,Hosea: {Waves}.
Narrative: You greet Hosea.,You: Hey there. Hosea: {fingergun}
"Narrative: You greet Hosea. ","You: Hey."
"Narrative: You greet Hosea. ","You: Everything okay. Hosea: Well I'm still alive."
"Narrative: You antagonize Hosea. ","You: You just love feeliing sorry for yourself, don't you? Hosea: I'm about the only one who stand's up for you."
Narrative: You defuse the situation.",You: I'm only kidding around. Hosea: You need to get your'e head straight.
Narrative: You greet Hosea. ,You: Hey there. Hosea: Hello.
Narrative: You greet Hosea. ,You: How are you doing. Hosea: As well as can be expected.
Narrative: You greet Hosea.,You: Glad to hear it. Hosea: Alright Arthur.
"Narrative: You greet Hosea. ","You: All quiet, Hosea. Hosea: Thankfully, yes. You: Good."
"Narrative: You greet Hosea.","You: Okay, well let's talk more later. Hosea: Sure, Arthur."
"Narrative: You greet Hosea. ","You: Looking good. Hosea: Thanks."
"Narrative: You greet Hosea. ","You: I mean, considering you usually look like you've got one foot in the grave. Hosea: Now you need to watch your mouth."
Narrative: You defuse the situation.",You: I'm only kidding around. Hosea: What is going on with you.
Narrative: You antagonize Hosea. ,You: So you get to read while everyone else is working off. Hosea: I'm about the only one round here who stand's up for you.
Narrative: You antagonize Hosea. ,You: One rule for you and another for the rest of us. Hosea: What in the hell's your problem.
Narrative: You antagonize Hosea.,You: Some things never change. Lazy bastard. Hosea: I'm not wasting anymore attention on you right now.
"Narrative: You antagonize Hosea. ","You: I used to really look up to you, Hosea. Hosea: Is that supposed to be funny."
"Narrative: You antagonize Hosea. ","You: You and Dutch both. Hosea: What's wrong with you?"
Narrative: You antagonize Hosea.",You: But I seen through the pair of you. Hosea: I'm just going to ignore you.
"Narrative: You antagonize Hosea. ","You: You miserable old grump. Hosea: Why dont we talk about you'r problems, huh?"
"Narrative: You antagonize Hosea. ","You: Yes, you, Hosea. Hosea: What is your issue."
Narrative: You antagonize Hosea.",You: Kinda depressing actually. Hosea: This is a waste of time.
