Prompt,Completion
"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Track Field Afternoon Action: You initiate conversation with Kazushi","Kazushi Miyamoto: I've been thinking about joining the archery club to try something new while my ankle heals. Have you ever tried archery, Minato?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. You talk with kazushi about him practicing too often while his ankle is still damged. Location: School Track Field Afternoon Action: You interact with Kazushi","Kazushi Miyamoto: You know, Minato, I've been pushing myself too hard. I just can't stand the thought of losing or letting my team down. But you're right, I need to take care of my body too. Thanks for being honest with me. I think it's just what I needed to hear. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. You talk with kazushi about him practicing too often while his ankle is still damged. Location: School Gym Evening Action: You initiate conversation with Kazushi","Kazushi Miyamoto: I've been thinking a lot about what you said, Minato. I've decided to take it easy for a while and let my ankle heal properly. It's tough, but I know it's the right thing to do. I really appreciate your support and advice. It's made a huge difference. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. You talk with kazushi about him practicing too often while his ankle is still damged. Location: School Courtyard Lunchtime Action: You interact with Kazushi","Kazushi Miyamoto: Minato, I've been feeling a lot better lately. My ankle is healing, and I think it's all thanks to you. You've been a great friend, and I'm grateful to have someone who genuinely cares about my well-being. I trust you more than ever, and I feel like our bond has grown stronger. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. You talk with kazushi about him practicing too often while his ankle is still damged. Location: School Rooftop Morning Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, I had this dream last night that I was running again without any pain. It was amazing. I know it's because of the changes I've made, and it's all thanks to you. I feel like I can overcome any obstacle with you by my side. Our connection has deepened, and I'm excited to see what the future holds for both of us. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. You talk with kazushi about him practicing too often while his ankle is still damged. Location: Dormitory Lounge Evening Action: You interact with Kazushi","Kazushi Miyamoto: I've realized that winning isn't everything, Minato. It's important to take care of myself and not push my limits too far. You've helped me see that, and I'm grateful for your guidance. I feel like our friendship has reached new heights, and I'm looking forward to supporting each other through thick and thin. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. You talk with kazushi about him practicing too often while his ankle is still damged. Location: School Track Field Afternoon Action: You interact with Kazushi","Kazushi Miyamoto: You know, Minato, I've been thinking about what you said. But I just can't stand the thought of losing or letting my team down. Even with my sprained ankle, I feel like I need to keep going. Your concern means a lot to me, and it's pushing me to work harder. I feel like our bond is growing stronger because of it. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. You talk with kazushi about him practicing too often while his ankle is still damged. Location: School Gym Evening Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, I know you're worried about me, and I appreciate it. But I feel like I have to prove myself to everyone, including myself. I've been pushing through the pain, and honestly, having you by my side has made a difference. I know it's not ideal, but our friendship has grown because of it. Thanks for sticking with me. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. You talk with kazushi about him practicing too often while his ankle is still damged. Location: School Courtyard Lunchtime Action: You interact with Kazushi","Kazushi Miyamoto: Hey, Minato. I've been reflecting on my decision to keep training despite my injury. It's not easy, but knowing you're here for me means a lot. I'm determined to see this through and come out stronger on the other side. Our connection has deepened, and I'm grateful for your unwavering support. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Track Field Afternoon Action: You interact with Kazushi","Kazushi Miyamoto: Hey, Minato. You've been great lately, always checking up on me. It's nice to have someone who cares so much. Thanks, man."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Courtyard Lunchtime Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, my leg's been feeling a bit better lately. I've been trying not to push myself too hard, but it's difficult. I want to give it my all for the team."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Library Evening Action: You interact with Kazushi","Kazushi Miyamoto: Hey, I didn't expect to see you here, Minato. I've been trying to catch up on schoolwork since I've been so focused on practice. It's tough to balance everything."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Gym Afternoon Action: You initiate conversation with Kazushi","Kazushi Miyamoto: I've been working on my upper body strength while my leg heals. Thanks for keeping me company, Minato. It helps to have a friend around."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Rooftop Lunchtime Action: You interact with Kazushi","Kazushi Miyamoto: I've been thinking about what we'll do once we graduate, Minato. It's a bit scary, but having friends like you makes me feel like I can face anything."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: Iwatodai Strip Mall Evening Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, do you ever think about the future? Sometimes I wonder if there's something more out there for me, beyond just sports."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Hallway Morning Action: You interact with Kazushi","Kazushi Miyamoto: Morning, Minato. I'm feeling pretty good today. My leg's healing up nicely, and I'm excited to get back out there with the team."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Track Field Afternoon Action: You initiate conversation with Kazushi","Kazushi Miyamoto: You know, Minato, I've been thinking about what it means to be a good team player. It's not just about winning; it's about supporting each other and helping everyone grow."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Gym Evening Action: You interact with Kazushi","Kazushi Miyamoto: Minato, I'm so grateful for your friendship. It's helped me stay strong and focused, even when things have been tough."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Classroom Lunchtime Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Hey, Minato. I've been thinking about joining a sports club in college. I'm not sure what I want to do yet, but I want to keep pushing myself."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Courtyard Afternoon Action: You interact with Kazushi","Kazushi Miyamoto: Minato, I'm starting to feel like my old self again. I couldn't have done it without your support. Thanks for always being there for me."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Track Field Evening Action: You initiate conversation with Kazushi","Kazushi Miyamoto: I've been practicing more mindfully lately, Minato. I think it's important to listen to my body and not push it too hard."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Library Afternoon Action: You interact with Kazushi","Kazushi Miyamoto: Minato, I'm glad we can spend time together, even when we're not at practice. It's nice to have a friend who understands me."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Hallway Afternoon Action: You interact with Kazushi","Kazushi Miyamoto: I think I've learned a lot about myself and what it means to be a true athlete, Minato. I owe a lot of that to our conversations and your support."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Track Field Afternoon Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, I've decided to come clean with the coach about my injury. I realize now that I can't put my own ambitions above the team's well-being. Thanks for helping me see that. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: Café Afternoon Action: You meet with Kazushi to discuss the upcoming competition","Kazushi Miyamoto: Minato, I've been reflecting on the past few weeks, and I can honestly say that my mindset has changed for the better. Your encouragement and understanding have made a huge impact on me. I'll give it my all at the competition and make you proud. {Social Link Rank Up}"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Track Field Afternoon Action: You initiate conversation with Kazushi after an intense practice","Kazushi Miyamoto: That was a tough one, huh? But I've got to admit, I feel like we're pushing each other to be better athletes. I'm glad we're on this journey together, Minato. {Social Link Rank Up}"


"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Hey, Minato! Do you think it's a good idea to buy a gift for my teacher? What kind of gift would be appropriate?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Minato, do you think age matters in a relationship? I mean, some people say it's just a number, right?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: I saw my teacher at a bookstore today, she was looking at some novels. Maybe I should start reading more to impress her?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Minato, do you have any tips on how to dress better? I want to look good for my private lessons with my teacher."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: My teacher complimented me on my recent test score, I think she's starting to notice me more."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Minato, do you think it's strange to have feelings for someone older than you? How would you deal with it?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: I can't concentrate in class anymore, Minato. Every time I look at my teacher, my heart starts racing."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Minato, do you think it's a good idea to write a letter expressing my feelings for my teacher? I'm not sure if that's too forward."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: I'm starting to get nervous about my private lessons, Minato. What if my teacher finds out how I feel about her?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Minato, do you believe in love at first sight? I think that's what happened to me with my teacher."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Do you have any advice on how to become more mature, Minato? I want to show my teacher that I can be a responsible partner."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Minato, I'm thinking about inviting my teacher to a nice restaurant. Do you have any suggestions?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: I overheard my teacher talking about her favorite movie, I'm going to watch it and bring it up during our private lesson."

